H,Hydrogen,1,1.00794,2.2,0.00008988
He,Helium,2,4.002602,0,0.0001785
Li,Lithium,3,6.941,0.98,0.534
Be,Beryllium,4,9.012182,1.57,1.85
B,Boron,5,10.811,2.04,2.34
C,Carbon,6,12.0107,2.55,2.267
N,Nitrogen,7,14.0067,3.04,0.0012506
O,Oxygen,8,15.9994,3.44,0.001429
F,Fluorine,9,18.9984032,3.98,0.001696
Ne,Neon,10,20.1797,0,0.0008999
Na,Sodium,11,22.98976928,0.93,0.971
Mg,Magnesium,12,24.305,1.31,1.738
Al,Aluminum,13,26.9815386,1.61,2.698
Si,Silicon,14,28.0855,1.9,2.3296
P,Phosphorus,15,30.973762,2.19,1.82
S,Sulfur,16,32.065,2.58,2.067
Cl,Chlorine,17,35.453,3.16,0.003214
Ar,Argon,18,39.948,0,0.0017837
K,Potassium,19,39.0983,0.82,0.862
Ca,Calcium,20,40.078,1,1.54
Sc,Scandium,21,44.955912,1.36,2.989
Ti,Titanium,22,47.867,1.54,4.54
V,Vanadium,23,50.9415,1.63,6.11
Cr,Chromium,24,51.9961,1.66,7.15
Mn,Manganese,25,54.938045,1.55,7.44
Fe,Iron,26,55.845,1.83,7.874
Co,Cobalt,27,58.933195,1.88,8.86
Ni,Nickel,28,58.6934,1.91,8.912
Cu,Copper,29,63.546,1.9,8.96
Zn,Zinc,30,65.38,1.65,7.134
Ga,Gallium,31,69.723,1.81,5.907
Ge,Germanium,32,72.64,2.01,5.323
As,Arsenic,33,74.9216,2.18,5.776
Se,Selenium,34,78.96,2.55,4.809
Br,Bromine,35,79.904,2.96,3.122
Kr,Krypton,36,83.798,0,0.003733
Rb,Rubidium,37,85.4678,0.82,1.532
Sr,Strontium,38,87.62,0.95,2.64
Y,Yttrium,39,88.90585,1.22,4.469
Zr,Zirconium,40,91.224,1.33,6.506
Nb,Niobium,41,92.90638,1.6,8.57
Mo,Molybdenum,42,95.96,2.16,10.22
Tc,Technetium,43,98,1.9,11.5
Ru,Ruthenium,44,101.07,2.2,12.37
Rh,Rhodium,45,102.9055,2.28,12.41
Pd,Palladium,46,106.42,2.2,12.02
Ag,Silver,47,107.8682,1.93,10.501
Cd,Cadmium,48,112.411,1.69,8.69
In,Indium,49,114.818,1.78,7.31
Sn,Tin,50,118.71,1.96,7.287
Sb,Antimony,51,121.76,2.05,6.685
Te,Tellurium,52,127.6,2.1,6.232
I,Iodine,53,126.90447,2.66,4.93
Xe,Xenon,54,131.293,0,0.005887
Cs,Cesium,55,132.9054519,0.79,1.873
Ba,Barium,56,137.327,0.89,3.594
La,Lanthanum,57,138.90547,1.1,6.145
Ce,Cerium,58,140.116,1.12,6.77
Pr,Praseodymium,59,140.90765,1.13,6.773
Nd,Neodymium,60,144.242,1.14,7.007
Pm,Promethium,61,145,1.13,7.26
Sm,Samarium,62,150.36,1.17,7.52
Eu,Europium,63,151.964,1.2,5.243
Gd,Gadolinium,64,157.25,1.2,7.895
Tb,Terbium,65,158.92535,1.2,8.229
Dy,Dysprosium,66,162.5,1.22,8.55
Ho,Holmium,67,164.93032,1.23,8.795
Er,Erbium,68,167.259,1.24,9.066
Tm,Thulium,69,168.93421,1.25,9.321
Yb,Ytterbium,70,173.054,1.1,6.965
Lu,Lutetium,71,174.9668,1.27,9.84
Hf,Hafnium,72,178.49,1.3,13.31
Ta,Tantalum,73,180.94788,1.5,16.654
W,Wolfram,74,183.84,2.36,19.25
Re,Rhenium,75,186.207,1.9,21.02
Os,Osmium,76,190.23,2.2,22.61
Ir,Iridium,77,192.217,2.2,22.56
Pt,Platinum,78,195.084,2.28,21.46
Au,Gold,79,196.966569,2.54,19.282
Hg,Mercury,80,200.59,2,13.5336
Tl,Thallium,81,204.3833,2.04,11.85
Pb,Lead,82,207.2,2.33,11.342
Bi,Bismuth,83,208.9804,2.02,9.807
Po,Polonium,84,210,2,9.32
At,Astatine,85,210,2.2,7
Rn,Radon,86,222,0,0.00973
Fr,Francium,87,223,0.7,1.87
Ra,Radium,88,226,0.9,5.5
Ac,Actinium,89,227,1.1,10.07
Th,Thorium,90,232.03806,1.3,11.72
Pa,Protactinium,91,231.03588,1.5,15.37
U,Uranium,92,238.02891,1.38,18.95
Np,Neptunium,93,237,1.36,20.45
Pu,Plutonium,94,244,1.28,19.84
Am,Americium,95,243,1.3,13.69
Cm,Curium,96,247,1.3,13.51
Bk,Berkelium,97,247,1.3,14.79
Cf,Californium,98,251,1.3,15.1
Es,Einsteinium,99,252,1.3,13.5
